"","name","city","country","region","members","fullurl","created","past_events","upcoming_events","visibility","last_event","lat","lon"
"464","R-Ladies San Francisco","San Francisco","USA","US/Canada",1684,"https://www.meetup.com/rladies-san-francisco/",2012-10-01,61,0,"public",2021-05-01,37.79,-122.4
"465","R-Ladies Christchurch","Christchurch","New Zealand","Australia",90,"https://www.meetup.com/rladies-christchurch/",2019-05-04,7,0,"public",2019-11-12,-43.53,172.64
"466","R-Ladies Auckland","Auckland","New Zealand","Australia",755,"https://www.meetup.com/rladies-auckland/",2017-11-20,28,0,"public",2021-04-08,-36.85,174.76
"467","R-Ladies Melbourne","Melbourne","Australia","Australia",1818,"https://www.meetup.com/rladies-melbourne/",2016-09-02,65,0,"public",2021-05-19,-37.81,144.96
"468","R-Ladies Bucharest","Bucharest","Romania","Europe",275,"https://www.meetup.com/rladies-bucharest/",2019-05-09,20,0,"public",2021-06-15,44.44,26.1
"469","R-Ladies Vienna","Vienna","Austria","Europe",282,"https://www.meetup.com/rladies-vienna/",2018-09-17,16,0,"public",2021-05-27,48.22,16.37
"470","R-Ladies Irvine","Irvine","USA","US/Canada",480,"https://www.meetup.com/rladies-irvine/",2018-03-13,22,0,"public",2021-05-26,33.65,-117.84
"471","R-Ladies Belgrade","Belgrade","Serbia","Europe",463,"https://www.meetup.com/rladies-belgrade/",2017-09-15,25,0,"public",2021-05-26,44.83,20.5
"472","R@Minho","Braga","Portugal","Europe",46,"https://www.meetup.com/R-Minho/",2015-10-06,0,0,"public",1970-01-01,41.55,-8.43
"473","R-Ladies Lyon","Lyon","France","Europe",80,"https://www.meetup.com/rladies-lyon/",2018-10-29,4,0,"public",2019-11-04,45.76,4.83
"474","R-Ladies London","London","United Kingdom","Europe",1534,"https://www.meetup.com/rladies-london/",2016-01-31,55,0,"public",2020-06-25,51.52,-0.1
"475","R-Ladies Cambridge","Cambridge","United Kingdom","Europe",290,"https://www.meetup.com/rladies-cambridge/",2017-11-10,2,0,"public",2020-08-04,52.2,0.11
"476","R-Ladies Kyiv","Kyiv","Ukraine","Europe",303,"https://www.meetup.com/rladies-kyiv/",2019-02-15,15,0,"public",2020-02-06,50.44,30.52
"477","R-Ladies Edinburgh","Edinburgh","United Kingdom","Europe",661,"https://www.meetup.com/rladies-edinburgh/",2018-07-27,18,0,"public",2021-05-12,55.95,-3.22
"478","Campinas Julia Language Meetup","Campinas","Brazil","Latin America",114,"https://www.meetup.com/Campinas-Julia-Language-Meetup/",2014-11-06,0,0,"public",1970-01-01,-22.91,-47.08
"479","R-Ladies Chennai","Chennai","India","Asia",372,"https://www.meetup.com/rladies-chennai/",2017-10-15,7,0,"public",2021-05-01,13.09,80.27
"480","NYC Stats Programming Master Classes","New York","USA","US/Canada",709,"https://www.meetup.com/datascienceclasses/",2013-01-25,5,0,"public",2014-02-24,40.74,-74
"481","R-Ladies Ottawa","Ottawa","Canada","US/Canada",224,"https://www.meetup.com/rladies-ottawa/",2018-12-05,6,0,"public",2020-10-27,45.45,-75.69
"482","Manassas Machine Learning 101 and Beyond","Manassas","USA","US/Canada",81,"https://www.meetup.com/Manassas-Machine-Learning-101-and-Beyond-Meetup-Group/",2019-08-03,1,0,"public",2019-10-05,38.75,-77.48
"483","R-Ladies Kathmandu","Kathmandu","Nepal","Asia",80,"https://www.meetup.com/rladies-kathmandu/",2018-10-01,4,0,"public",2020-03-28,27.71,85.31
"484","R-Ladies Orlando","Orlando","USA","US/Canada",322,"https://www.meetup.com/rladies-orlando/",2017-06-05,17,0,"public",2019-05-29,28.54,-81.37
"485","R-Ladies Iowa City","Iowa City","USA","US/Canada",109,"https://www.meetup.com/rladies-iowa-city/",2018-09-18,5,0,"public",2019-10-17,41.66,-91.53
"486","R-Ladies Des Moines","Des Moines","USA","US/Canada",28,"https://www.meetup.com/rladies-des-moines/",2018-09-23,4,0,"public",2019-05-20,41.6,-93.63
"487","R-Ladies Houston","Houston","USA","US/Canada",97,"https://www.meetup.com/rladies-houston/",2018-12-07,0,0,"public",1970-01-01,29.72,-95.22
"488","R-Ladies Perth","Perth","Australia","Australia",258,"https://www.meetup.com/rladies-perth/",2018-10-23,10,0,"public",2019-12-17,-31.96,115.84
"489","R-Ladies Remote","San Francisco","USA","US/Canada",354,"https://www.meetup.com/rladies-remote/",2018-06-19,9,0,"public",2019-12-17,37.78,-122.42
"490","R, ML and AI in Sydney","Sydney","Australia","Australia",196,"https://www.meetup.com/R-ML-and-AI-in-Sydney/",2019-01-12,0,0,"public",1970-01-01,-33.87,151.21
"491","R-Ladies Freiburg","Freiburg","Germany","Europe",571,"https://www.meetup.com/rladies-freiburg/",2019-01-23,41,2,"public",2021-06-08,47.99,7.85
"492","R Lille","Lille","France","Europe",321,"https://www.meetup.com/R-Lille/",2020-02-05,16,1,"public",2021-06-17,50.64,3.07
"493","AthensR","Athens","Greece","Europe",226,"https://www.meetup.com/AthensR/",2015-04-16,21,1,"public",2021-06-17,37.98,23.73
"494","R-Ladies Montreal","Montréal","Canada","US/Canada",531,"https://www.meetup.com/rladies-montreal/",2017-09-14,36,0,"public",2021-06-17,45.53,-73.6
