Year	Project	WorkProduct	Student	Mentors
2015	Stochastic Average Gradient	Package	Ishmael Belghazi	John Nash, Toby Hocking
2015	GEO-analysis-with-Shiny	Package	Jasmine Dumas	Garrett Dancik, Yuanbin Ru
2015	Multivariate Survival analysis	Package	Vinnie Monaco	Malka Gorfine, Li Hsu
2015	Improving mlr’s hyperparameter and tuning system for efficient model selection	Package	Kerschke	Bernd Bischl, Michel Lang
2015	Animint	Visualization	Kevin Ferris	Carson Sievert, Susan VanderPlas, Toby Hocking
2015	nlmeviz	Visualization	Nafiz Hamid	Eun-kyung Lee, Dianne Cook
2015	statistical algorithms in NIMBLE	Package	Nick Michaud	Perry de Valpine, Chris Paciorek, Duncan Temple Lang
2015	covariance matrix estimators	Package	Rohit Arora	Doug Martin
2015	pander	Package	Roman Tsegelskyi	Gergely Daróczi
2015	factorAnalytics package	Package	Sangeetha Srinivasan	Eric Zivot
2015	markovchain	Package	Tae Seung Kang	Giorgio Spedicato, Christophe Dutang
2015	Implement several ensemble SVMs in mlr	Package	Tong He	Aydin Demircioglu, Bernd Bischl
2015	Animint	Visualization	Jun Cai	Carson Sievert, Susan VanderPlas, Toby Hocking
2015	Biodiversity SNS	Package	Vijay Barve	Javier Otegui, Robert Guralnick, Jorge Soberón
2015	wrds package	Package	Wouter	Guy Yollin
2015	Risk + Asset Allocation	Package	Xavier Valls	Peter Carl, Brian Peterson
2015	SDCA	Package	Xingguo Li	Daniel Vainsencher, Tuo Zhao
2015	Cpp Version of ARPACK and Integration with (Rcpp)Armadillo	Package	Yixuan Qiu	Dirk Eddelbuettel, Ryan Curtin, Drew Schmidt
2015	Improving mlr’s visualisations	Visualization	Zachary Jones	Lars Kotthoff, Julia Schiffner, Bernd Bischl
2016	postCP change-point detection	Package	Malith Jayaweera	G Nuel, G Rigaill
2016	Biconvex minimization	Package	Xingguo Li	Tuo Zhao
2016	Animint	Visualization	Faizan Khan	Toby Hocking, Carson Sievert
2016	Discovr	Package	Robin Kohze	Roland Brock, Samuel Schmidt
2016	GAS	Package	Leopoldo Catania	Kris Boudt, David Ardia
2016	ggduo	Visualization	Barret Schloerke	Dianne Cook, Heike Hofmann, R Hafen 
2016	Hyperspectral Unmixing	Package	Anton Belov	Claudia Beleites, Simon Fuller, Bryan Hanson 
2016	Deep learning with mxnet	Package	Yuqi Li	Qiang Kou, Yuan Tang
2016	markovchain	Package	Deepak Yadav	Giorgio Spedicato, Christophe Dutang, SB Yalamanchi
2016	Text/Topic Modeling	Package	Jan Idziak	Maciej  Eder, Tomasz Melcer
2016	factorAnalytics	Package	Avinash Acharya	Doug Martin
2016	PostGIS	Package	Balázs Dukai	Mathieu Basille, David Bucklin, Clement Calenge
2016	GARCH	Package	Keven Bluteau	David Ardia, Kris Boudt
2016	ggmosaic	Visualization	Haley Jeppson	Heike Hofmann, Dianne Cook 
2016	NicheToolbox	Package	Luis Osorio	Vijay Barve, Narayani Barve, Jorge Soberón
2016	plot.xts	Visualization	ChuuHsiang Hung	Brian Peterson, Ross Bennett, P Teetor, Joshua Ulrich, Peter Carl
2016	re2 regular expressions	Package	Qin Wenfeng	M Gagolewski, Toby Hocking
2016	Regularized interval regression	Package	Anuj Khare	Toby Hocking, J Goeman
2016	Rperform	Package	Akash Tandon	Toby Hocking, Joshua Ulrich 
2016	Standard errors for risk	Package	Xin Chen	Doug Martin, Peter Carl, Brian Peterson 
2016	Hyperparameter viz	Visualization	Mason Gallo	Bernd Bischl, Lars Kotthoff
2016	Boundary detection	Package	Nicholas Syring	Meng Li, Vijay Barve 
2017	GPU accelerated comparative phylogenetic analysis with uncertainty	Package	Evandro Taquary	Erin Hodgess, Thiago Rangel
2017	Improved functionality for higher order comoment estimation in PerformanceAnalytics	Package	Dries Cornilly	Brian Peterson, Kris Boudt 
2017	Integrated Oversampling for Sequence Classification (IOSC)	Package	Lan Wei	Matthew Dixon, Diego Klabjan 
2017	MSGARCH	Package	Leopoldo Catania	David Ardia, Kris Boudt, Brian Peterson 
2017	Sentometrics	Package	Samuel Borms	Kris Boudt, David Ardia,Keven Bluteau 
2017	Animated interactive plots (animint)	Visualization	Faizan Khan	Toby Hocking, Carson Sievert 
2017	Speed optimizations for iregnet	Package	Rover Van	Toby Hocking, Anuj Khare 
